1password 8.11.22-27
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 25.1.0-1
python-autocommand 2.2.2-7
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-construct 2.10.70-5
python-convertdate 2.4.0-1
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-docopt 0.6.2-14
python-gobject 3.54.5-1
python-hijridate 2.5.0-2
python-holidays 0.70-1
python-icalendar 6.3.2-2
python-idna 3.11-1
python-jalali-core 1.0.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jdatetime 5.2.0-2
python-keyutils 0.6-11
python-korean_lunar_calendar 0.3.1-3
python-lxml 6.0.2-1
python-more-itertools 10.8.0-1
python-nspektr 0.5.1-1
python-packaging 25.0-1
python-platformdirs 4.5.1-1
python-psutil 7.1.3-1
python-pycparser 2.23-1
python-pycryptodomex 3.23.0-1
python-pyhibp 4.1.0-1
python-pykcs11 1.5.18-1
python-pykeepass 4.1.1.post1-1
python-pyotp 2.9.0-3
python-pyusb 1.3.1-1
python-pywal 3.3.0-10
python-pyxdg 0.28-4
python-requests 2.32.5-1
python-setuptools 1:80.9.0-2
python-six 1.17.0-1
python-urllib3 2.6.2-1
python-validators 0.28.3-1
python-wheel 0.45.1-1
python-yaml 6.0.3-1
python-yubico 1.3.3-7
python-zxcvbn-rs 0.3.0-1
qoi r350.4461cc3-1
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-base 6.10.1-1
qt6-declarative 6.10.1-2
qt6-imageformats 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
rav1e 0.8.1-2
re2 2:2025.11.05-1
readline 8.3.003-1
reflector 2023-3
rnnoise 1:0.2-1
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-1
satty 0.20.0-1
sbc 2.1-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.60-1
sdl3 3.2.28-1
seatd 0.9.1-1
secrets 12.1-3
sed 4.9-3
serd 0.32.6-1
shaderc 2025.5-1
shadow 4.18.0-1
shared-mime-info 2.4-2
slang 2.3.3-4
slurp 1.5.0-1
smartmontools 7.5-1
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.1.0-1
sof-firmware 2025.12-1
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
spdlog 1.16.0-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.335.0-1
sqlite 3.51.1-1
sratom 0.6.20-1
srt 1.5.4-1
sshfs 3.7.3-3
steam 1.0.0.85-1
sudo 1.9.17.p2-1
svt-av1 3.1.2-1
systemd 259-1
systemd-libs 259-1
systemd-sysvcompat 259-1
taglib 2.1.1-1
tar 1.35-2
tdb 1.4.14-1
tela-icon-theme 2025.02.10-1
telegram-desktop 6.3.9-1
texinfo 7.2-1
tinysparql 3.10.1-2
tlp 1.9.0-3
tlp-rdw 1.9.0-3
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
trash-cli 0.24.5.26-2
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.24-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
twolame 0.4.0-4
tzdata 2025c-1
uchardet 0.0.8-3
udiskie 2.5.8-1
udisks2 2.11.0-1
unibilium 2.1.2-1
unrar 1:7.2.3-1
unzip 6.0-23
upower 1.91.0-1
usbutils 019-1
util-linux 2.41.3-1
util-linux-libs 2.41.3-1
uwsm 0.25.3-1
v4l-utils 1.32.0-1
vapoursynth 73-1
vid.stab 1.1.1-2
vim 9.1.1975-1
vim-runtime 9.1.1975-1
vlc 3.0.21-32
vlc-cli 3.0.21-32
vlc-gui-qt 3.0.21-32
vlc-plugin-a52dec 3.0.21-32
vlc-plugin-alsa 3.0.21-32
vlc-plugin-archive 3.0.21-32
vlc-plugin-dav1d 3.0.21-32
vlc-plugin-dbus 3.0.21-32
vlc-plugin-dbus-screensaver 3.0.21-32
vlc-plugin-faad2 3.0.21-32
vlc-plugin-flac 3.0.21-32
vlc-plugin-gnutls 3.0.21-32
vlc-plugin-inflate 3.0.21-32
vlc-plugin-journal 3.0.21-32
vlc-plugin-jpeg 3.0.21-32
vlc-plugin-lua 3.0.21-32
vlc-plugin-mpg123 3.0.21-32
vlc-plugin-ogg 3.0.21-32
vlc-plugin-opus 3.0.21-32
vlc-plugin-png 3.0.21-32
vlc-plugin-pulse 3.0.21-32
vlc-plugin-shout 3.0.21-32
vlc-plugin-speex 3.0.21-32
vlc-plugin-tag 3.0.21-32
vlc-plugin-theora 3.0.21-32
vlc-plugin-twolame 3.0.21-32
vlc-plugin-vorbis 3.0.21-32
vlc-plugin-vpx 3.0.21-32
